,neuron_name,Class 1,Merge Class,is_pdiff,is_usplit,is_LNpre,is_brain,Hemisphere,Pair,Pair ID,lineage,dendrite_input,axon_input,Class 2,idx
1400725, (AN-L-Sens-B1-ACa-12) [] #1400725,sens,sens-AN,False,False,False,False,L,-1,-1,unk,0,3,AN,27
1405493, (AN-L-Sens-B1-ACa-09) [] #1405493,sens,sens-AN,False,False,False,False,L,-1,-1,unk,0,12,AN,28
1406463, (AN-L-Sens-B1-ACa-14) [] #1406463,sens,sens-AN,False,False,False,False,L,-1,-1,unk,0,4,AN,29
1414206, (AN-L-Sens-B1-AVa-16) [] #1414206,sens,sens-AN,False,False,False,False,L,-1,-1,unk,0,15,AN,30
1419315, (AN-L-Sens-B1-AVa-31) [] #1419315,sens,sens-AN,False,False,False,False,L,-1,-1,unk,0,16,AN,31
1427012, (AN-L-Sens-B1-AVa-32) [] #1427012,sens,sens-AN,False,False,False,False,L,-1,-1,unk,0,3,AN,32
1591270, (Nag right) [*BAla34_r akira] #1591270,unk,unk,False,False,False,True,R,15718981,720,BAla34,65,39,,33
1622901, (DALd bushy left; DALd_l  2) [*DALd_l akira] #1622901,O_dVNC,O_dVNC,False,False,False,True,L,6156152,1,DALd,127,9,,34
1646076,MB2IN-157 (DALd_l  3) [*DALd_l akira] #1646076,unk,unk,False,False,False,True,L,10276161,2,DALd,91,32,,35
1678567,MB2ON-135 (BU ; DALd 4_left) [*DALd_l akira] #1678567,O_dVNC,O_dVNC,False,False,False,True,L,6153877,3,DALd,389,17,,36
1679034, (UNK brain ascending left) [unknown lineage] #1679034,unk,unk,False,False,False,True,L,14374534,4,unk,15,11,,37
1706716, (AN-L-Sens-B2-ACp-19) [] #1706716,sens,sens-AN,False,False,False,False,L,-1,-1,unk,0,3,AN,38
1715990, (AN-L-Sens-B2-ACp-17) [] #1715990,sens,sens-AN,False,False,False,False,L,-1,-1,unk,0,16,AN,39
1805406, (PVC_right; BLP34 a 8) [*BLP34_r akira] #1805406,unk,unk,False,False,False,True,R,5744502,154,BLP34,38,7,,40
1805418, (BLP post ven neuron 1 right; BLP34 a 6) [*BLP34_r akira] #1805418,unk,unk,False,False,False,True,R,5768240,1123,BLP34,34,33,,41
1805669, (BLP34 descending 3 right) [*BLP34_r akira] #1805669,unk,unk,False,False,False,True,R,18501001,1035,BLP34,71,19,,42
1856512, (Rh6PR-4;right) [] #1856512,sens,sens-photoRh6,False,False,False,False,R,-1,-1,unk,0,0,photoRh6,43
1868538, (CP4 8 right) [*CPd_r akira] #1868538,unk,unk,False,False,False,True,R,10100020,381,CPd,114,22,,44
1924051, (BAmas12 midline neuron 1 left) [*BAmas12_dor_l akira] #1924051,O_dSEZ,O_dSEZ,False,False,False,True,L,17698681,5,BAmas12_dor,74,13,,45
1961182, (CPf contralateral 3 left) [*CPd_l akira] #1961182,unk,unk,False,False,False,True,L,9177218,6,CPd,50,16,,46
2142817,MB2IN-146 (pre-dorsal-MAP presynaptic-D-2-R left) [*DPLc_ant_lat_l akira] #2142817,unk,unk,False,False,False,True,L,15225589,7,DPLc_antat,89,29,,47
2200028, (Rh6PR-2;left) [] #2200028,sens,sens-photoRh6,False,False,False,False,L,-1,-1,unk,0,1,photoRh6,48
2204467, (LN2;left) [*BLAd-OL_l akira] #2204467,unk,unk,False,False,False,True,L,2512602,8,BLAd-OL,52,6,,49
2206279, (Rh6PR-3;left) [] #2206279,sens,sens-photoRh6,False,False,False,False,L,-1,-1,unk,0,0,photoRh6,50
2209091, (Rh5PR-4;left) [] #2209091,sens,sens-photoRh5,False,False,False,False,L,-1,-1,unk,0,0,photoRh5,51
2215247, (Rh6PR-7;left) [] #2215247,sens,sens-photoRh6,False,False,False,False,L,-1,-1,unk,0,1,photoRh6,52
2215447, (Rh6PR-4;left) [] #2215447,sens,sens-photoRh6,False,False,False,False,L,-1,-1,unk,0,0,photoRh6,53
2215622, (Rh6PR-8;left) [] #2215622,sens,sens-photoRh6,False,False,False,False,L,-1,-1,unk,0,0,photoRh6,54
2216131, (Rh6PR-6;left) [] #2216131,sens,sens-photoRh6,False,False,False,False,L,-1,-1,unk,0,0,photoRh6,55
2216187, (Rh5PR-2;left) [] #2216187,sens,sens-photoRh5,False,False,False,False,L,-1,-1,unk,0,1,photoRh5,56
2216445, (Rh6PR-1;left) [] #2216445,sens,sens-photoRh6,False,False,False,False,L,-1,-1,unk,0,0,photoRh6,57
2260755, (DH44 1 right) [*Dilp_r akira] #2260755,unk,unk,False,False,False,True,R,10418394,402,Dilp,55,1,,58
2283495, (IPC 3 right) [*Dilp_r akira] #2283495,O_IPC,O_IPC,False,False,False,True,R,12634154,573,Dilp,131,3,,59
2284021, (AN-L-Sens-B1-ACa-01) [] #2284021,sens,sens-AN,False,False,False,False,L,-1,-1,unk,0,30,AN,60
2340336, (AN-R-Sens-B1-ACa-02) [] #2340336,sens,sens-AN,False,False,False,False,R,-1,-1,unk,0,13,AN,61
2355126, (IPC 7 right) [*Dilp_r akira] #2355126,O_IPC,O_IPC,False,False,False,True,R,3046503,28,Dilp,76,5,,62
2357110, (IPC 6 right) [*Dilp_r akira] #2357110,O_IPC,O_IPC,False,False,False,True,R,4506509,101,Dilp,110,1,,63
2369444,MB2IN-199,unk,unk,False,False,False,True,L,10119916,9,DPLd,376,115,,64
2379529, (PVL2 left) [*BLP34_l akira] #2379529,unk,unk,False,False,False,True,L,3815483,1144,BLP34,41,10,,65
2379544, (BLP12 claw 1 left) [*BLP12_l akira] #2379544,unk,unk,False,False,False,True,L,10681487,10,BLP12,39,6,,66
2438653, (MB2IN-162/163 like left; PDLr) [*DPLp_l akira] #2438653,unk,unk,False,False,False,True,L,15632120,11,DPLp,56,16,,67
2439067,LH-24 (T3: PVLr_left) [*BLAvm post_l akira] #2439067,unk,unk,False,False,False,True,L,3814853,12,BLAvm post,223,45,,68
2439134,MB2ON-199 (BLDa b 6_from Another temp PN (ds5th-2) left) [*BLAd-vl_l akira] #2439134,unk,unk,False,False,False,True,L,4099900,13,BLAd-vl,137,63,,69
2439150, (inner bridge 2 left) [*DPLc_post_lat_l akira] #2439150,unk,unk,False,False,False,True,L,11851588,14,DPLc_postat,59,8,,70
2456826, (AN-R-Sens-B1-ACa-01) [] #2456826,sens,sens-AN,False,False,False,False,R,-1,-1,unk,0,13,AN,71
2504517, (CM13 horseshoe 2 right) [*CM13_med_r akira] #2504517,unk,unk,False,False,False,True,R,10317031,393,CM13_med,38,17,,72
2505266, (CP contralateral right; helper-gap neuron down_oct) [*CPf_r akira] #2505266,unk,unk,False,False,False,True,R,19881737,1065,CPf,44,2,,73
2506050,DAN-f1 (MBE4a right) [*CPc_r akira] #2506050,MBIN,MBIN-DAN,False,False,False,True,R,7901791,235,CPc,190,298,DAN,74
2512602, (LN2;right) [*BLAd-OL_r akira] #2512602,unk,unk,False,False,False,True,R,2204467,8,BLAd-OL,50,0,,75
2532841, (Rh6PR-6;right) [] #2532841,sens,sens-photoRh6,False,False,False,False,R,-1,-1,unk,0,0,photoRh6,76
2544902, (Rh6PR-5;right) [] #2544902,sens,sens-photoRh6,False,False,False,False,R,-1,-1,unk,0,1,photoRh6,77
2552701, (Rh5PR-4;right) [] #2552701,sens,sens-photoRh5,False,False,False,False,R,-1,-1,unk,0,0,photoRh5,78
2557644, (BAla34 ventral cluster 1 right) [*BAla34_r akira] #2557644,unk,unk,False,False,False,True,R,17356454,926,BAla34,26,31,,79
2568465,MB2IN-194,mPN,mPN-multi,False,False,False,True,L,10167078,15,BAlp4,325,48,multi,80
2568522,MB2ON-185 (Another Upper Comissure PN right) [*BAmd2_v_r akira] #2568522,unk,unk,False,False,False,True,R,12612426,571,BAmd2_v,105,38,,81
2571761, (83a ORN right) [] #2571761,sens,sens-ORN,False,False,False,False,R,3547397,1098,unk,0,67,ORN,82
2582391, (1a ORN right) [] #2582391,sens,sens-ORN,False,False,False,False,R,2611805,1081,unk,0,39,ORN,83
2584838, (30a ORN right) [] #2584838,sens,sens-ORN,False,False,False,False,R,3768025,1084,unk,0,24,ORN,84
2597151, (AF5: Short-presynaptic-D-1R) [*DPLc_post_lat_l akira] #2597151,unk,unk,False,False,False,True,L,3158085,16,DPLc_postat,140,13,,85
2608843, (42b ORN right) [] #2608843,sens,sens-ORN,False,False,False,False,R,3410499,1088,unk,0,53,ORN,86
2610744, (AN-L-Sens-B3-ACal-05 (Non-ORN 1)) [] #2610744,sens,sens-AN,False,False,False,False,L,-1,-1,unk,0,26,AN,87
2611805, (1a ORN left) [] #2611805,sens,sens-ORN,False,False,False,False,L,2582391,1081,unk,0,38,ORN,88
2612527,MB2IN-151,mPN,mPN-multi,False,False,False,True,L,4391978,17,BAmv3,407,31,multi,89
2628785,CN-36,unk,unk,False,True,True,True,L,4311586,18,BAmd2_v,166,0,,90
2648254,MB2IN-178 (DPMpm1 4 DNs) [*DPMpm1_r akira] #2648254,O_dSEZ,O_dSEZ,False,False,False,True,R,10756813,432,DPMpm1,84,23,,91
2650887,MB2ON-61 (CA ; DPMpm1 1_right) [*DPMpm1_r akira] #2650887,unk,unk,False,False,False,True,R,10758204,433,DPMpm1,163,86,,92
2652641, (BLVa_t hook 2 left) [*BLVa_t_l akira] #2652641,unk,unk,False,False,False,True,L,12882179,19,BLVa_t,10,11,,93
2655798, (DPMm1 ipsilateral descending right) [*DPMm1_r akira] #2655798,unk,unk,False,False,False,True,R,10728323,429,DPMm1,70,16,,94
2659386, (DMS 1 right) [*Dilp_r akira] #2659386,unk,unk,False,False,False,True,R,4523584,102,Dilp,68,1,,95
2659504, (CM4-dm horseshoe 1 right) [*CM4-dm_r akira] #2659504,unk,unk,False,False,False,True,R,15629759,711,CM4-dm,38,14,,96
2660767, (CM4-dm Tiny 1 right) [*CM4-dm_r akira] #2660767,unk,unk,True,False,False,True,R,10017804,376,CM4-dm,23,0,,97
2663649, (DPMl a 5 right) [*DPMl12_post_r akira] #2663649,unk,unk,False,False,False,True,R,17732737,1134,DPMl12_post,89,0,,98
2667061,FFN-2,FFN,FFN,False,False,False,True,R,11011058,464,DPMpl12,160,29,,99
2667980, (DPMm1 horseshoe 2 right) [*DPMm1_r akira] #2667980,unk,unk,False,False,False,True,R,10568310,415,DPMm1,46,16,,100
2669331, (DPMpm1 horseshoe right) [*DPMpm1_r akira] #2669331,unk,unk,False,False,False,True,R,10760217,434,DPMpm1,47,13,,101
2669844, (Horseshoe deviant right) [unknown lineage] #2669844,O_dVNC,O_dVNC,False,False,False,True,R,15897280,731,unk,149,6,,102
2670619, (putative 11H10 right) [*CM4-vm_r akira] #2670619,O_dVNC,O_dVNC,False,True,True,True,R,6604203,185,CM4-vm,33,0,,103
2772093, (BLVa hook 1 right) [*BLVa12_r akira] #2772093,unk,unk,False,False,False,True,R,9348984,331,BLVa12,124,24,,104
2775707, (LN4;right) [*BLAd-OL_r akira] #2775707,unk,unk,False,False,False,True,R,16087799,742,BLAd-OL,57,21,,105
2775943, (LN3;right) [*BLAd-OL_r akira,unk,unk,False,False,False,True,R,8118929,256,unk,51,6,,106
2776773, (3rd Thermo Right - ADL022) [*BLAd-vl_r akira] #2776773,unk,unk,False,False,False,True,R,7582412,221,BLAd-vl,71,30,,107
2797480,MB2ON-205 (DPLc_post_med descending left) [*DPLc_post_med_l akira] #2797480,unk,unk,False,True,True,True,L,13713529,20,DPLc_post_med,107,0,,108
2846555, (BLP34 lateral right) [*BLP34_r akira] #2846555,unk,unk,False,False,False,True,R,5755261,160,BLP34,91,9,,109
2852273,_IPC 2 (IPC 2 right) [*Dilp_r akira] #2852273,O_IPC,O_IPC,False,False,False,True,R,10459723,406,Dilp,81,2,,110
2854715, (DPLam neuron right) [*DPLam_r akira] #2854715,unk,unk,False,False,False,True,R,14162492,622,DPLam,175,25,,111
2878185, (BLAv12_lat pointer 1 right) [*BLAv12_lat_r akira] #2878185,unk,unk,False,False,False,True,R,12923749,588,BLAv12at,38,7,,112
2881070, (BLDc A00c pointer right) [*BLDc_r akira] #2881070,unk,unk,False,False,False,True,R,20343986,1073,BLDc,60,41,,113
2885630, (BLDc descending 2 right; Ipsilateral BPL interneuron (hook target)) [*BLDc_r akira] #2885630,unk,unk,False,False,False,True,R,16485518,790,BLDc,75,14,,114
2910892, (UNK triple branch left) [unknown lineage] #2910892,unk,unk,False,False,False,True,L,-1,-1,unk,24,1,,115
2911847, (DPlal simple bilateral 3 right; BPL to lateral bilateral right) [*DPLal1-3_r akira] #2911847,unk,unk,False,False,False,True,R,10714526,426,DPLal1-3,240,22,,116
2914206, (DN1-1 - PDL007 right ) [*DPLc_ant_lat_r akira] #2914206,unk,unk,False,True,True,True,R,12745771,577,DPLc_antat,144,0,,117
2920061, (DPLc_ant_lat bilateral right; DN2-1R (ASB TODO A2 11)) [*DPLc_ant_lat_r akira] #2920061,unk,unk,False,False,False,True,R,9792178,364,DPLc_antat,84,25,,118
2920554,MB2IN-138 (cpld-- downtoDN1 right) [*DPLc_ant_lat_r akira] #2920554,unk,unk,False,False,False,True,R,3820148,46,DPLc_antat,227,16,,119
2921933, (V1: possible PVL005 - 3 Right) [*BLVa34_r akira] #2921933,unk,unk,False,True,True,True,R,4570270,104,BLVa34,131,0,,120
2932028,LH-3 (AF:uptoLN2 sibling 35_right) [*DPLp_r akira] #2932028,unk,unk,False,False,False,True,R,14333371,629,DPLp,140,26,,121
2935173,_WS (WS: from olfactory to Hugin interneuron right) [*BLAd-vm_r akira] #2935173,unk,unk,False,False,False,True,R,3946432,67,BLAd-vm,135,13,,122
2935198, (AF3 thermo 3rd right) [*DPLm_r akira] #2935198,unk,unk,False,False,False,True,R,4785242,116,DPLm,124,12,,123
2963280,MB2ON-249 (try5thLN_sibling 35 right) [*DPLp_r akira] #2963280,unk,unk,False,False,False,True,R,6494382,182,DPLp,201,26,,124
2964760, (DPLd C neuron left) [*DPLd_l akira] #2964760,unk,unk,False,False,False,True,L,10855798,21,DPLd,30,7,,125
2966602,CN-1,FBN,FBN,False,False,False,True,L,12704069,22,DPLd,325,73,,126
2979486,MB2IN-145 (GX; Left) [*DPLd_l akira] #2979486,unk,unk,False,False,False,True,L,9585145,23,DPLd,61,31,,127
2979675, (DPLam Talon 1 left) [*DPLam_l akira] #2979675,unk,unk,False,False,False,True,L,7422253,24,DPLam,85,20,,128
2988292,_Two-headed cobra (Two-headed cobra left) [*DPlal1-3_med_l akira] #2988292,unk,unk,False,False,False,True,L,19046339,25,DPlal1-3_med,107,19,,129
3002410,Thermo PN 7 (Upper Looping PN Right - AVM004 (BAla1/2)) [*BAla12_r akira] #3002410,tPN,tPN,False,False,False,True,R,4108016,70,BAla12,84,16,,130
3009700, (Coaster (NPF) Right ) [*DPMl_ant_dor_r akira] #3009700,O_dVNC,O_dVNC,False,False,False,True,R,3048606,29,DPMl_ant_dor,216,18,,131
3010486, (AF0: neuron right) [*DPLm1_r akira] #3010486,unk,unk,False,False,False,True,R,11027071,470,DPLm1,113,14,,132
3021609, (DPM contralateral horseshoe right) [*DPMm2_r akira] #3021609,unk,unk,False,True,True,True,R,17354414,921,DPMm2,173,0,,133
3027876,MB2ON-144 (Tomato Vine 2_right) [*DPMpm1_r akira] #3027876,unk,unk,False,False,False,True,R,9424902,339,DPMpm1,437,42,,134
3043970, (SLO_left) [*DPMl_ant_ven_l akira] #3043970,unk,unk,False,False,False,True,L,16181130,26,DPMl_ant_ven,31,54,,135
3044500,MB2IN-172 (DPLc1 Descending L) [*DPMl_ant_ven_l akira] #3044500,O_dSEZ,O_dSEZ,False,False,False,True,L,6317793,27,DPMl_ant_ven,262,56,,136
3046503, (IPC 7 left) [*Dilp_l akira] #3046503,O_IPC,O_IPC,False,False,False,True,L,2355126,28,Dilp,98,0,,137
3048606, (Coaster (NPF) Left) [*DPMl_ant_dor_l akira] #3048606,O_dVNC,O_dVNC,False,False,False,True,L,3009700,29,DPMl_ant_dor,122,28,,138
3054101, (MN-L-Sens-B3-ACp-04) [] #3054101,sens,sens-MN,False,False,False,False,L,-1,-1,unk,0,9,MN,139
3058132, (DPlal simple bilateral 2 right) [*DPlal1-3_ant_r akira,unk,unk,False,False,False,True,R,15676016,717,unk,37,21,,140
3060480, (DPLl Gnarly left) [*DPLl_l akira] #3060480,unk,unk,False,False,False,True,L,17380080,30,DPLl,145,11,,141
3061422, (DM-NPF_conn4_left) [*DALv1_l akira] #3061422,unk,unk,False,False,False,True,L,3272218,31,DALv1,78,21,,142
3071301, (MN-R-Sens-B2-ACp-13) [] #3071301,sens,sens-MN,False,False,False,False,R,-1,-1,unk,0,12,MN,143
3122533, (BLDc descending 1 right; BPL feedback local R) [*BLDc_r akira] #3122533,unk,unk,False,False,False,True,R,16014607,736,BLDc,47,10,,144
3123905, (MN-R-Sens-B3-ACpl-07) [] #3123905,sens,sens-MN,False,False,False,False,R,-1,-1,unk,0,4,MN,145
3149791, (telephone-related right) [*BAla34_r akira] #3149791,unk,unk,False,False,False,True,R,10922928,453,BAla34,151,82,,146
3157405,FAN-1,FAN,FAN,False,False,False,True,L,8752697,32,DPMpl12,175,78,,147
3158085, (AF5: Short-presynaptic-D-1L) [*DPLc_post_lat_r akira] #3158085,unk,unk,False,False,False,True,R,2597151,16,DPLc_postat,164,24,,148
3158123, (presynaptic-D-2-MAP-L left) [*DPLc_ant_lat_l akira] #3158123,unk,unk,False,False,False,True,L,17415439,33,DPLc_antat,137,36,,149
3158543, (63a ORN left) [] #3158543,sens,sens-ORN,False,False,False,False,L,7719547,1094,unk,0,32,ORN,150
3166745, (UNK basal right; DL-LH_cand2) [*BLVa34_r akira] #3166745,unk,unk,False,False,False,True,R,5704424,151,BLVa34,21,3,,151
3166836, (BLVa ascending 1 right; DL-LH_cand3_no) [*BLVa34_r akira] #3166836,unk,unk,False,False,False,True,R,15063529,669,BLVa34,41,5,,152
3167039, (BLVa12 local-like right; DL-LH_cand4; BLVa12 a 6 (Wrong Connection)) [*BLVa12_r akira] #3167039,unk,unk,False,False,False,True,R,-1,-1,BLVa12,82,18,,153
3180681, (BLVp1 local a right) [*BLVp1_r akira] #3180681,unk,unk,False,False,False,True,R,15586949,699,BLVp1,62,4,,154
3182103, (BLDc pointer right) [*BLDc_r akira] #3182103,unk,unk,False,False,False,True,R,9739780,360,BLDc,100,18,,155
3199456, (MN-R-Sens-B3-ACp-05) [] #3199456,sens,sens-MN,False,False,False,False,R,-1,-1,unk,0,14,MN,156
3232277, (DL-LH_cand9 right) [*BLVa34_r akira] #3232277,unk,unk,False,False,False,True,R,11029359,1132,BLVa34,37,6,,157
3232808, (DL-LH_cand10; BLVa 34 b 1 right) [*BLVa34_r akira] #3232808,unk,unk,False,False,False,True,R,-1,-1,BLVa34,47,32,,158
3234817,APL (MBE12 right) [*BLVa34_r akira] #3234817,APL,APL,False,False,False,True,R,15571194,695,BLVa34,615,349,,159
3235409, (Rose 1 right) [*BLAv12_ant_r akira] #3235409,unk,unk,False,False,False,True,R,14782250,658,BLAv12_ant,202,22,,160
3251140, (BLVp1 hook right) [*BLVp1_r akira] #3251140,unk,unk,False,False,False,True,R,17223643,905,BLVp1,77,18,,161
3272218, (DM-NPF_conn4_right) [*DALl1_r akira] #3272218,unk,unk,False,False,False,True,R,3061422,31,DALl1,111,14,,162
3276003,MB2IN-150 (L1: Short-presynapticD-3-R) [*DPLc_post_lat_r akira] #3276003,unk,unk,False,False,False,True,R,7557604,220,DPLc_postat,203,18,,163
3281684, (IPC 5 left) [*Dilp_l akira] #3281684,O_IPC,O_IPC,False,False,False,True,L,3561724,34,Dilp,76,0,,164
3299214,MBON-j1 (MBE2a right) [*DAMd1_r akira] #3299214,MBON,MBON,False,False,False,True,R,15421363,675,DAMd1,504,78,,165
3347708,KC (KC2) [Lineage MBNB A right] #3347708,KC,KC-1claw,False,False,False,True,R,4412315,94,MBNB A right,38,204,1claw,166
3347834,KC (KC3) [Lineage MBNB A right] #3347834,KC,KC-3claw,False,False,False,True,R,-1,-1,MBNB A right,28,97,3claw,167
3410499, (42b ORN left) [] #3410499,sens,sens-ORN,False,False,False,False,L,2608843,1088,unk,0,59,ORN,168
3410506, (85c ORN left) [] #3410506,sens,sens-ORN,False,False,False,False,L,3893195,1099,unk,0,44,ORN,169
3414508, (contra-vine left) [unknown lineage] #3414508,unk,unk,False,False,False,True,L,3498479,35,unk,117,87,,170
3436420, (Pre PMN right) [unknown lineage] #3436420,unk,unk,False,False,False,True,R,6445994,178,unk,184,97,,171
3450442,mPN,mPN,mPN-olfac,False,False,False,True,L,4700078,36,BAlp4,393,44,olfac,172
3450751,MB2ON-164,O_dSEZ,unk,False,True,True,True,R,10160250,382,BAmd1,163,0,,173
3464773, (42a ORN left) [] #3464773,sens,sens-ORN,False,False,False,False,L,3827211,1087,unk,0,73,ORN,174
3465659, (35a ORN left) [] #3465659,sens,sens-ORN,False,False,False,False,L,3840345,1086,unk,0,34,ORN,175
3486381,42a PN (42a PN left) [*BAmv3_l akira] #3486381,uPN,uPN,False,False,False,True,L,8244723,37,BAmv3,242,25,,176
3486867, (130729_SFO Cand 42a-42b_OSN_IN1 left) [*BAmas12_dor_l akira] #3486867,O_dSEZ,unk,False,False,False,True,L,5478818,38,BAmas12_dor,176,15,,177
3487306, (AN-R-Sens-B3-ACal-03 (temp sensing right neuron together 1)) [] #3487306,sens,sens-thermo;AN,False,False,False,False,R,3609202,1115,unk,0,3,thermo;AN,178
3497901,KC (KC4) [Lineage MBNB B right] #3497901,KC,KC-4claw,False,False,False,True,R,-1,-1,MBNB B right,62,87,4claw,179
3498479, (contra-vine right) [unknown lineage] #3498479,unk,unk,False,False,False,True,R,3414508,35,unk,139,83,,180
3511996, (94a & 94b ORN left) [] #3511996,sens,sens-ORN,False,False,False,False,L,3958234,1100,unk,0,33,ORN,181
3522293,KC (KC5) [Lineage MBNB B right] #3522293,KC,KC-5claw,False,False,False,True,R,-1,-1,MBNB B right,19,71,5claw,182
3538129,mPN,mPN,mPN-olfac,False,False,False,True,R,6451332,180,unk,289,43,olfac,183
3539170, (BAla12 descending 1 left) [*BAla12_l akira] #3539170,unk,unk,False,False,False,True,L,8159396,39,BAla12,99,51,,184
3543931,MB2IN-142 (BAmas SOG MBE1_l (acbiliblo (left))) [*BAmas12_dor_l akira] #3543931,unk,unk,False,False,False,True,L,13795090,40,BAmas12_dor,93,33,,185
3547397, (83a ORN left) [] #3547397,sens,sens-ORN,False,False,False,False,L,2571761,1098,unk,0,59,ORN,186
3556191, (AN-R-Sens-B1-ACa-03) [] #3556191,sens,sens-AN,False,False,False,False,R,-1,-1,unk,0,4,AN,187
3561724, (IPC 5 right) [*Dilp_r akira] #3561724,O_IPC,O_IPC,False,False,False,True,R,3281684,34,Dilp,86,1,,188
3586984, (AN-L-Sens-B3-ACal-07 (upstream of Multig. Olfactory PN 3) ) [] #3586984,sens,sens-AN,False,False,False,False,L,-1,-1,unk,0,4,AN,189
3587612,KC (KC7) [Lineage MBNB B right] #3587612,KC,KC-3claw,False,False,False,True,R,-1,-1,MBNB B right,65,93,3claw,190
3592997, (24a ORN left) [] #3592997,sens,sens-ORN,False,False,False,False,L,3865952,1083,unk,0,71,ORN,191
3595837, (DPMm1 Brain descending into VNC right) [*DPMm1_r akira] #3595837,O_dVNC,O_dVNC,False,False,False,True,R,10716080,427,DPMm1,79,20,,192
3598000, (DPMm1 Brain descending into VNC 2 right) [*DPMm1_r akira] #3598000,O_dVNC,O_dVNC,False,False,False,True,R,10728318,428,DPMm1,46,30,,193
3608397, (AN-L-Sens-B3-ACal-01 (temp sensing left neuron alone)) [] #3608397,sens,sens-thermo;AN,False,False,False,False,L,3650600,1113,unk,0,0,thermo;AN,194
3609202, (AN-L-Sens-B3-ACal-03 (temp sensing left neuron together 1)) [] #3609202,sens,sens-thermo;AN,False,False,False,False,L,3487306,1115,unk,0,3,thermo;AN,195
