	 neuron_name	Class 1	Merge Class	is_pdiff	is_usplit	is_LNpre	is_brain	Hemisphere	Pair	Pair ID	Class 2
2911847	 (DPlal simple bilateral 3 right; BPL to lateral bilateral right) [*DPLal1-3_r akira] #2911847	Unk	Unk	False	False	False	True	R	10714526	427	
9567051	MB2ON-186 (PVL09 left) [*BLAd-OL_l akira] #9567051	vPN	vPN	False	False	False	True	L	9539868	355	
17360030	 (DPlal simple bilateral 4 left) [*DPlal1-3_ant_l akira] #17360030	Unk	Unk	False	False	False	True	L	15636411	937	
9539868	MB2ON-186 (PVL09 right) [*BLAd-OL_r akira] #9539868	vPN	vPN	False	False	False	True	R	9567051	355	
15636411	 (DPlal simple bilateral 4 right) [*DPlal1-3_lat_r akira	Unk	Unk	False	False	False	True	R	17360030	937	
14133114	MB2ON-187 (down_pvl09_left) [*DPMpl12_l akira] #14133114	Unk	Unk	False	False	False	True	L	17166682	621	
17360042	 (DPlal simple bilateral 5 left) [*DPlal1-3_ant_l akira] #17360042	Unk	Unk	False	False	False	True	L	9856062	940	
17166682	MB2ON-187 (down_pvl09_right) [*DPMpl12_r akira] #17166682	Unk	Unk	False	False	False	True	R	14133114	621	
16992171	 (BAla12_34 neuron left) [*BAla12_l akira	Unk	Unk	False	False	False	True	L	17356024	872	
8307514	 (DPLl i 2(BLDa b 2 pep) right) [*DPLl_r akira] #8307514	Unk	Unk	False	False	False	True	R	4379603	82	
9524538	MB2IN-158 (M1 ; Left) [*DAMv12_lat_l akira] #9524538	Unk	Unk	False	False	False	True	L	11946903	352	
16635345	 (CM13 bilateral 1 left) [*CM13_lat_l akira] #16635345	Unk	Unk	False	False	False	True	L	5859372	820	
17884299	Gustatory PN 1 (Gustatory PN right) [*BAlc post_r akira] #17884299	Unk	Unk	False	False	False	True	R	11333054	495	
14760757	 (Bike Bars right; DALl1 7) [*DALl1_r akira] #14760757	Unk	Unk	False	False	False	True	R	10797407	439	
16933362	FFN-41	FFN	FFN	False	False	False	True	L	4234016	854	
4144377	FB-43	FBN	FBN	False	False	False	True	R	5870071	170	
13841523	 (BLAv12_lat pointer 2 right) [*BLAv12_lat_r akira] #13841523	Unk	Unk	False	False	False	True	R	15096548	671	
17671219	CN-34	Unk	Unk	False	False	False	True	R	4665186	110	
20536322	 (DPLc PDL_right) [*DPLc_post_lat_r akira] #20536322	Unk	Unk	False	False	False	True	R	9436520	343	
2979486	MB2IN-145 (GX; Left) [*DPLd_l akira] #2979486	Unk	Unk	False	False	False	True	L	9585145	23	
12273754	 (BLAvm bilateral X? left) [*BLAvm ant_l akira] #12273754	Unk	Unk	False	False	False	True	L	-1	-1	
16100461	CN-39	Unk	Unk	False	False	False	True	L	8711574	748	
17340973	 (DPM long neck right) [*DPMpm1_r akira] #17340973	Unk	Unk	False	True	True	True	R	8814524	298	
16369928	MB2IN-168 (GP ; Right) [*BLAvm ant_r akira] #16369928	Unk	Unk	False	False	False	True	R	16799809	834	
11464638	CN-10	Unk	Unk	False	False	False	True	R	10543751	412	
13003574	 (BAmv12 spearhead right) [*BAmv12_dor_r akira] #13003574	Unk	Unk	False	False	False	True	R	16547252	804	
16823703	CN-23	FAN	FAN	False	False	False	True	R	16475849	790	
17513284	 (BLAv12 1 left) [*BLAv12_ant_l akira] #17513284	Unk	Unk	False	False	False	True	L	17361566	963	
17414715	 (ChalOLP;left) [*OLP_l] #17414715	Unk	Unk	False	True	True	True	L	8247641	953	
16629788	KC (KC34) [Lineage MBNB A left] #16629788	KC	KC-1claw	False	False	False	True	L	7786053	817	1claw
17732270	 (CM4-dm Switcheroo 3 left) [*CM4-dm_l akira] #17732270	O_dVNC	O_dVNC	False	False	False	True	L	6125806	991	
14492880	 (DPMl stick right) [*DPMl12_post_r akira] #14492880	Unk	Unk	False	False	False	True	R	15055590	669	
3756659	MB2IN-183	tPN	tPN	False	False	False	True	R	4260935	75	
16961482	 (DALv1 contralateral 2 left) [*DALv1_l akira] #16961482	Unk	Unk	False	False	False	True	L	10403609	868	
10495502	LH-25	Unk	Unk	False	False	False	True	R	12840470	583	
5976168	 (DPMl b 1 loSM right) [*DPMpl12_r akira] #5976168	Unk	Unk	False	False	False	True	R	14034311	616	
10756813	MB2IN-178 (Fragment with soma) [*DPMpm1_l akira] #10756813	Unk	Unk	False	False	False	True	L	2648254	433	
9856062	 (DPlal simple bilateral 5 right; Tel-like 7? anterior cell body) [*DPlal1-3_ant_r akira	Unk	Unk	False	False	False	True	R	17360042	940	
17360070	 (DPlal simple bilateral 6 left) [*DPlal1-3_ant_l akira] #17360070	Unk	Unk	False	False	False	True	L	15656223	941	
15656223	 (DPlal simple bilateral 6 right) [*DPlal1-3_ant_r akira	Unk	Unk	False	False	False	True	R	17360070	941	
15689046	 (DPlal simple bilateral 7 left) [*DPLal1-3_l akira] #15689046	Unk	Unk	False	False	False	True	L	8979434	720	
8979434	 (DPlal simple bilateral 7 right) [*DPLal1-3_r akira] #8979434	Unk	Unk	False	False	False	True	R	15689046	720	
9718223	 (DPlal simple bilateral a left) [*DPlal1-3_ant_l akira] #9718223	Unk	Unk	False	False	False	True	L	-1	-1	
15656826	 (DPlal simple bilateral b right; DPLal 2 R) [*DPlal1-3_ant_r akira	Unk	Unk	False	False	False	True	R	-1	-1	
17488886	 (DPlal1-3_med sparse unpaired left) [*DPlal1-3_med_l akira] #17488886	Unk	Unk	False	False	False	True	L	-1	-1	
17360014	 (DPlal13 bilateral unpaired left) [*DPLal1-3_l akira] #17360014	Unk	Unk	False	False	False	True	L	-1	-1	
17927604	 (DS noci_sibling_left) [*DPLc_post_lat_l akira] #17927604	Unk	Unk	False	False	False	True	L	11605567	1011	
11605567	 (DS noci_sibling_right) [*DPLc_post_lat_r akira] #11605567	Unk	Unk	False	False	False	True	R	17927604	1011	
13395814	 (DS_noci_sibling-like_left) [*DPLc_post_lat_l akira] #13395814	Unk	Unk	False	False	False	True	L	17756162	599	
17756162	 (DS_noci_sibling-like_right) [*DPLc_post_lat_r akira] #17756162	Unk	Unk	False	False	False	True	R	13395814	599	
19051762	 (Death grip left (new name now correct pair)) [*BLAd-vm_l akira] #19051762	Unk	Unk	False	False	False	True	L	17913032	1049	
17913032	 (Death grip right) [*BLAd-vm_r akira] #17913032	Unk	Unk	False	False	False	True	R	19051762	1049	
16340977	 (Dorsal contralateral 1 left) [*DPMpm1_l akira] #16340977	O_dSEZ	O_dSEZ	False	False	False	True	L	18232369	756	
18232369	 (Dorsal contralateral 1 right) [*DPMl_ant_ven_r akira] #18232369	Unk	Unk	False	False	False	True	R	16340977	756	
19395500	 (Downstream Downstream A00c left) [*DPlal1-3_med_l akira] #19395500	Unk	Unk	False	False	False	True	L	8559525	1060	
8559525	 (Downstream Downstream A00c right) [*DPlal1-3_ant_r akira	Unk	Unk	False	False	False	True	R	19395500	1060	
4188290	 (EH left) [unknown lineage] #4188290	O_dVNC	O_dVNC	False	True	True	True	L	5010581	74	
5010581	 (EH right) [unknown lineage] #5010581	O_dVNC	O_dVNC	False	True	True	True	R	4188290	74	
19092010	 (From Visual to CPM right) [unknown lineage	Unk	Unk	False	False	False	True	R	8801715	293	
8801715	 (From Visual to CPM? left) [unknown lineage	Unk	Unk	False	False	False	True	L	19092010	293	
17844900	 (Giant-step left) [unknown lineage] #17844900	Unk	Unk	False	False	False	True	L	18598859	1010	
18598859	 (Giant-step right) [unknown lineage] #18598859	Unk	Unk	False	False	False	True	R	17844900	1010	
8700125	 (GlulOLP;left) [*OLP_l] #8700125	Unk	Unk	False	False	False	True	L	7897051	288	
7897051	 (GlulOLP;right) [*OLP_r] #7897051	Unk	Unk	False	False	False	True	R	8700125	288	
12360656	 (Gust PN to LH left) [*BAlp4_l akira] #12360656	Unk	Unk	False	False	False	True	L	17819985	546	
17819985	 (Gust PN to LH right) [*BAlp4_r akira] #17819985	Unk	Unk	False	False	False	True	R	12360656	546	
16457812	 (Gustatory? PN right) [*BAlc post_r akira] #16457812	Unk	Unk	False	False	False	True	R	-1	-1	
11782821	 (Horseshoe Bilateral Left) [*DPMpl12_l akira] #11782821	Unk	Unk	False	False	False	True	L	3913613	517	
3913613	 (Horseshoe Bilateral right) [*DPMpl12_r akira] #3913613	Unk	Unk	False	False	False	True	R	11782821	517	
15897280	 (Horseshoe deviant left) [unknown lineage] #15897280	O_dVNC	O_dVNC	False	False	False	True	L	2669844	732	
2669844	 (Horseshoe deviant right) [unknown lineage] #2669844	O_dVNC	O_dVNC	False	False	False	True	R	15897280	732	
11986594	 (I of GPhN left (ipsilateral PN to LH)) [*BAlc post_l akira] #11986594	Unk	Unk	False	False	False	True	L	6218461	1079	
6218461	 (I of GPhN right; (old) I1 right --- BAlc post lat ven #4 ACT comm neuron 6218462) [*BAlc post_r akira] #6218461	Unk	Unk	False	False	False	True	R	11986594	1079	
11934107	 (I1 left (ipsilat PN to bilateral LH)) [*BAlc post_l akira] #11934107	Unk	Unk	False	False	False	True	L	3844961	524	
10329208	 (IPC 1 left) [*Dilp_l akira] #10329208	O_IPC	O_IPC	False	False	False	True	L	13535380	396	
13535380	 (IPC 1 right) [*Dilp_r akira] #13535380	O_IPC	O_IPC	False	False	False	True	R	10329208	396	
12634154	 (IPC 3 left) [*Dilp_l akira] #12634154	O_IPC	O_IPC	False	False	False	True	L	2283495	574	
2283495	 (IPC 3 right) [*Dilp_r akira] #2283495	O_IPC	O_IPC	False	False	False	True	R	12634154	574	
4453485	 (IPC 4 left) [*Dilp_l akira] #4453485	O_IPC	O_IPC	False	False	False	True	L	15202263	99	
15202263	 (IPC 4 right) [*Dilp_r akira] #15202263	O_IPC	O_IPC	False	False	False	True	R	4453485	99	
3281684	 (IPC 5 left) [*Dilp_l akira] #3281684	O_IPC	O_IPC	False	False	False	True	L	3561724	34	
3561724	 (IPC 5 right) [*Dilp_r akira] #3561724	O_IPC	O_IPC	False	False	False	True	R	3281684	34	
4506509	 (IPC 6 left) [*Dilp_l akira] #4506509	O_IPC	O_IPC	False	False	False	True	L	2357110	101	
2357110	 (IPC 6 right) [*Dilp_r akira] #2357110	O_IPC	O_IPC	False	False	False	True	R	4506509	101	
3046503	 (IPC 7 left) [*Dilp_l akira] #3046503	O_IPC	O_IPC	False	False	False	True	L	2355126	28	
2355126	 (IPC 7 right) [*Dilp_r akira] #2355126	O_IPC	O_IPC	False	False	False	True	R	3046503	28	
3925724	 (ITP candidate 1 left) [*ncc_d_l akira] #3925724	O_ITP	O_ITP	False	False	False	True	L	5956787	48	
5955853	 (ITP candidate 1 right) [*ncc_d_r akira] #5955853	O_ITP	O_ITP	False	False	False	True	R	3926904	51	
3926904	 (ITP candidate 2 left) [*ncc_d_l akira] #3926904	O_ITP;O_dSEZ	O_ITP;O_dSEZ	False	False	False	True	L	5955853	51	
5956787	 (ITP candidate 2 right) [*ncc_d_r akira] #5956787	O_ITP;O_dSEZ	O_ITP;O_dSEZ	False	False	False	True	R	3925724	48	
16683883	 (ITP candidate 3 left) [*ncc_d_l akira] #16683883	O_ITP	O_ITP	False	False	False	True	L	7529574	826	
7529574	 (ITP candidate 3 right) [*ncc_d_r akira] #7529574	O_ITP;O_dSEZ	O_ITP;O_dSEZ	False	False	False	True	R	16683883	826	
16683943	 (ITP candidate 4 left) [*ncc_d_l akira] #16683943	O_ITP	O_ITP	False	False	False	True	L	7530253	827	
7530253	 (ITP candidate 4 right) [*ncc_d_r akira] #7530253	O_ITP	O_ITP	False	False	False	True	R	16683943	827	
3729496	 (Input from both Munin 3	O_dSEZ	O_dSEZ	False	False	False	True	L	3762317	42	
3762317	 (Input from both Munin 3	O_dSEZ	O_dSEZ	False	False	False	True	R	3729496	42	
9787859	 (Inter2 left ) [*BAmas12_ven_l akira] #9787859	Unk	Unk	False	False	False	True	L	-1	-1	
10893103	 (Ipsiphone L) [*BLAv12_ant_l akira] #10893103	Unk	Unk	False	False	False	True	L	9720614	449	
9720614	 (Ipsiphone R) [*BLAv12_ant_r akira] #9720614	Unk	Unk	False	False	False	True	R	10893103	449	
9508724	 (Ipsiphone lineage bilateral 2 left) [*BLAv12_ant_l akira] #9508724	Unk	Unk	False	False	False	True	L	17541953	351	
17541953	 (Ipsiphone lineage bilateral 2 right) [*BLAv12_ant_r akira] #17541953	Unk	Unk	False	False	False	True	R	9508724	351	
17729020	 (Ipsiphone lineage bilateral left) [unknown lineage] #17729020	Unk	Unk	False	False	False	True	L	15684934	976	
15684934	 (Ipsiphone lineage bilateral right) [*BLAv12_ant_r akira] #15684934	Unk	Unk	False	False	False	True	R	17729020	976	
5327961	 (KS LN 3a left) [*BAlc post_l akira] #5327961	Unk	Unk	False	False	False	True	L	6220384	133	
6220384	 (KS LN 3a right) [*BAlc post_r akira] #6220384	Unk	Unk	False	False	False	True	R	5327961	133	
11821320	 (KS LN 3b left) [*BAlc post_l akira] #11821320	Unk	Unk	False	False	False	True	L	11184236	518	
11184236	 (KS LN 3b right) [*BAlc post_r akira] #11184236	Unk	Unk	False	False	False	True	R	11821320	518	
17062823	 (KS LN 4a left) [*BAmas12_dor_l akira] #17062823	Unk	Unk	False	False	False	True	L	16393165	879	
16393165	 (KS LN 4a right) [*BAmas12_ven_r akira] #16393165	O_dSEZ	O_dSEZ	False	False	False	True	R	17062823	879	
11195708	 (KS LN 4b left) [*BAmas12_ven_l akira] #11195708	O_dSEZ	O_dSEZ	False	False	False	True	L	13968203	485	
13968203	 (KS LN 4b right) [*BAmas12_ven_r akira] #13968203	O_dSEZ	O_dSEZ	False	False	False	True	R	11195708	485	
12617396	 (L left (PN to LH)) [*BAlp4_l akira] #12617396	Unk	Unk	False	False	False	True	L	3844799	573	
3844799	 (L right (PN to LH)) [*BAlp4_r akira] #3844799	Unk	Unk	False	False	False	True	R	12617396	573	
14999928	 (LAL bilateral coordination left) [*CM4-vm_l akira] #14999928	Unk	Unk	False	False	False	True	L	4591713	666	
4591713	 (LAL bilateral coordination right; J. II. Posterior target neuron #2 MB PN; CM4 dor pos 9) [*CM4-dm_r akira	Unk	Unk	False	False	False	True	R	14999928	666	
16852622	 (LAL output neuron DALcm left) [*DALcm12-v_l akira] #16852622	O_dVNC	O_dVNC	False	False	False	True	L	16950767	845	
16950767	 (LAL output neuron DALcm right; DALd_r 11) [*DALcm12-v_r akira] #16950767	O_dVNC	O_dVNC	False	False	False	True	R	16852622	845	
16520950	 (LAL output neuron_r 2 (DALd_r)) [*DALd_r akira] #16520950	O_dVNC	O_dVNC	False	False	False	True	R	-1	-1	
5769582	 (LH-LN2_left) [*BLP34_l akira] #5769582	Unk	Unk	False	False	False	True	L	9753418	167	
9753418	 (LH-LN2_right) [*BLP34_r akira] #9753418	Unk	Unk	False	False	False	True	R	5769582	167	
14319498	 (LH_sibling 67 left) [*BLDc_l akira] #14319498	Unk	Unk	False	False	False	True	L	17942676	629	
19045334	 (LH_sibling 67 like left) [*BLDc_l akira	Unk	Unk	False	False	False	True	L	9585036	1048	
9532295	 (BAlp_ant ascending dendrite right) [*BAlp_ant_r akira] #9532295	Unk	Unk	False	False	False	True	R	17383431	952	
5782947	 (DALcm12 v ap 1 right) [*DALcm12-v_r akira] #5782947	Unk	Unk	False	False	False	True	R	7025831	196	
10400440	MB2ON-188 (Fragment with soma left) [*CM4-vm_l akira] #10400440	Unk	Unk	False	False	False	True	L	18264509	401	
18264509	MB2ON-188 (neuron 18264510 right) [*CM4-vm_r akira] #18264509	Unk	Unk	False	False	False	True	R	10400440	401	
6651098	MB2ON-190 (DALcl12 v d 6 right) [*DALcl12-v_r akira] #6651098	Unk	Unk	True	False	False	True	R	14659793	654	
5745929	MB2ON-191 (BR ; Left posterior contralateral) [*BLP12_l akira] #5745929	Unk	Unk	False	False	False	True	L	16617920	157	
16617920	MB2ON-191 (BR ; Right) [*BLP12_r akira] #16617920	Unk	Unk	False	False	False	True	R	5745929	157	
17110007	MB2ON-192 (BV ; Left DALcl12 r vv 7) [*DALcl12-v_l akira] #17110007	Unk	Unk	False	False	False	True	L	6188181	889	
6188181	MB2ON-192 (DALcl12 vv 3 (BV ; RIGHT DALcl12 r vv 7) right) [*DALcl12-v_r akira] #6188181	Unk	Unk	False	False	False	True	R	17110007	889	
17535542	MB2ON-193 (BW ; Right DALc12 vv 2) [*DALcl12-v_r akira] #17535542	Unk	Unk	False	False	False	True	R	9612903	359	
9612903	MB2ON-193 (DALv contra #1 neuron 9612904 left) [*DALcl12-v_l akira] #9612903	Unk	Unk	False	False	False	True	L	17535542	359	
9078240	MB2ON-196 (AW ; Left At Gap With Soma) [*CPbl_l akira] #9078240	Unk	Unk	False	False	False	True	L	7688300	317	
7688300	MB2ON-196 (AW ; Right CP2/3d obPl 11; CP23 d 4 ) [*CPbl_r akira] #7688300	Unk	Unk	False	False	False	True	R	9078240	317	
2439134	MB2ON-199 (BLDa b 6_from Another temp PN (ds5th-2) left) [*BLAd-vl_l akira] #2439134	Unk	Unk	False	False	False	True	L	4099900	13	
4099900	MB2ON-199 (BLDa b 6_from Another temp PN (ds5th-2) right) [*BLAd-vl_r akira] #4099900	Unk	Unk	False	False	False	True	R	2439134	13	
16154290	MB2ON-200 (CM4 ven pos 2 right) [*CM4-vm_r akira] #16154290	O_dVNC	O_dVNC	False	False	False	True	R	19298625	1057	
19298625	MB2ON-200 (Downstream of mPN iACT A1 18067335 left) [*CM4-vm_l akira] #19298625	O_dVNC	O_dVNC	False	False	False	True	L	16154290	1057	
10596949	MB2ON-201 (DPMm1_2 left ipsi cross-layer CC) [*DPMm1_l akira] #10596949	Unk	Unk	False	False	False	True	L	13411445	419	
13411445	MB2ON-201 (DPMm1_2 right ipsi cross-layer CC) [*DPMm1_r akira] #13411445	Unk	Unk	False	False	False	True	R	10596949	419	
14579509	MB2ON-202 (fishing_rod_left) [*TRdl post_l akira] #14579509	Unk	Unk	False	False	False	True	L	13835439	647	
13835439	MB2ON-202 (fishing_rod_right) [*BAla34_r akira] #13835439	Unk	Unk	False	False	False	True	R	14579509	647	
9154024	MB2ON-203 (DALv23 L LAL #10 counterpart left) [*DALv23_l akira] #9154024	Unk	Unk	False	False	False	True	L	16947349	321	
16947349	MB2ON-203 (DALv23 LAL 4 right) [*DALv23_r akira] #16947349	Unk	Unk	False	False	False	True	R	9154024	321	
16445073	MB2ON-204 (offPVL09d_left; DPLc) [*DPLc5_l akira] #16445073	Unk	Unk	False	False	False	True	L	8981761	784	
8981761	MB2ON-204 (offPVL09d_right; DPLc) [*DPLc5_r akira] #8981761	Unk	Unk	False	False	False	True	R	16445073	784	
2797480	MB2ON-205 (DPLc_post_med descending left) [*DPLc_post_med_l akira] #2797480	Unk	Unk	False	True	True	True	L	13713529	20	
13713529	MB2ON-205 (DPLc_post_med descending right) [*DPLc_post_med_r akira] #13713529	Unk	Unk	False	True	True	True	R	2797480	20	
11389855	MB2ON-206 (SKY_left) [*DPLc5_l akira	Unk	Unk	False	False	False	True	L	16484888	497	
16484888	MB2ON-206 (SKY_right) [*DPLc5_r akira	Unk	Unk	False	False	False	True	R	11389855	497	
12551020	MB2ON-207 (DALv1_PB3_left) [*DALv1_l akira] #12551020	Unk	Unk	False	False	False	True	L	14756061	568	
14756061	MB2ON-207 (DALv1_PB3_right) [*DALv1_r akira] #14756061	Unk	Unk	False	False	False	True	R	12551020	568	
11329998	MB2ON-208 (DPMm1 FB4_left) [*DPMm1_l akira] #11329998	Unk	Unk	False	False	False	True	L	13365464	494	
13365464	MB2ON-208 (DPMm1 FB4_right) [*DPMm1_r akira] #13365464	Unk	Unk	False	False	False	True	R	11329998	494	
13081886	MB2ON-209 (ASB Orca right 3081887 PVM21?; CM4 dor ant 13 DNs) [*CM4-dm_r akira] #13081886	O_dSEZ	O_dSEZ	False	False	False	True	R	6572414	184	
6572414	MB2ON-209 (PVM21?_left (= Pre-goro15) (Munin PC Output (lower confidence branch))) [*CM4-dm_l akira] #6572414	O_dVNC	O_dVNC	False	False	False	True	L	13081886	184	
16714214	MB2ON-210 (pacman-2 right) [*DAMd23_r akira] #16714214	Unk	Unk	False	False	False	True	R	15431408	677	
15431408	MB2ON-210 (pacman-2? left) [*DAMd23_l akira] #15431408	Unk	Unk	False	False	False	True	L	16714214	677	
15639294	MB2ON-218 (CPe contralateral descending left; CPobPm4 is CPe3/pep asc cand Left) [*CPe_l akira] #15639294	O_dVNC	O_dVNC	False	False	False	True	L	7571966	715	
7571966	MB2ON-218 (CPe contralateral descending right; CPe3/pep asc cand Right; CP1 d 4) [*CPe_r akira] #7571966	O_dVNC	O_dVNC	False	False	False	True	R	15639294	715	
13380660	MB2ON-221	O_dSEZ	O_dSEZ	False	False	False	True	L	14517691	598	
14517691	MB2ON-221	O_dSEZ	O_dSEZ	False	False	False	True	R	13380660	598	
7582489	MB2ON-227 (PDL005 - 3rd-order Thermo AP (D CB)1 Left) [*DPLm1_l akira] #7582489	Unk	Unk	False	False	False	True	L	7977834	223	
7977834	MB2ON-227 (PDL005 - 3rd-order Thermo AP (D CB)1 Right) [*DPLm1_r akira] #7977834	Unk	Unk	False	False	False	True	R	7582489	223	
16985194	MB2ON-228 (ASB TODO No Soma; Gap Crossing Attempt; left) [*BLVp2_l akira] #16985194	Unk	Unk	False	False	False	True	L	15068806	871	
15068806	MB2ON-228 (Fragment To Find Soma; BLVp2 1 right) [*BLVp2_r akira] #15068806	Unk	Unk	False	False	False	True	R	16985194	871	
18648531	MB2ON-231 (Bonsai left) [*DPlal1-3_lat_l akira] #18648531	Unk	Unk	False	False	False	True	L	13665529	1044	
13665529	MB2ON-231 (Bonsai right) [*DPlal1-3_lat_r akira	Unk	Unk	False	False	False	True	R	18648531	1044	
19786464	MB2ON-232 (BP 1 ; Right) [*BAlp_ant_r akira] #19786464	Unk	Unk	False	False	False	True	R	-1	-1	
4274518	MB2ON-233 (Brain looper left) [*BAmv12_dor_l akira] #4274518	Unk	Unk	False	False	False	True	L	19156025	76	
