Skeleton ID,neuron_name,Class 1,Merge Class,is_pdiff,is_usplit,is_LNpre,is_brain,Hemisphere,Pair,Pair ID,lineage,Class 2,contraction,Original index,dim 0,dim 1,dim 2,dim 3,dim 4,dim 5,dim 6,dim 7,dim 8,dim 9,dim 10,dim 11,dim 12,dim 13
8509534,"MB2IN-212, MB2ON-195, mPN (mPN cobra left) [*BAla12_l akira] #8509534",mPN,mPN-multi,False,False,False,True,P,16515871,282,*BAla12_l akira_,multi,"{16515871: {'neuron_name': 'MB2IN-212, MB2ON-195, mPN (mPN cobra right) [*BAla12_r akira] #16515871', 'Class 1': 'mPN', 'Merge Class': 'mPN-multi', 'is_pdiff': False, 'is_usplit': False, 'is_LNpre': False, 'is_brain': True, 'Hemisphere': 'R', 'Pair': 8509534, 'Pair ID': 282, 'lineage': '*BAla12_r akira_', 'Class 2': 'multi'}}",10,0.02303840652894206,0.020668650278950467,0.034136126694378946,-0.004292822227077319,0.0007699600043090829,0.018538727941906055,0.001149828870998517,0.00119266635840175,-2.2375009093607708e-05,-4.3386977478902725e-05,-0.017481091044938262,0.09541954430727699,-0.017781939171412478,-0.005226348796654726
7941642, (broad D2 left) [*BAlc ant_l akira] #7941642,bLN,bLN-Duet,False,True,True,True,P,8198513,241,*BAlc ant_l akira_,Duet,"{8198513: {'neuron_name': ' (broad D2 right) [*BAlc ant_r akira] #8198513', 'Class 1': 'bLN', 'Merge Class': 'bLN-Duet', 'is_pdiff': False, 'is_usplit': True, 'is_LNpre': True, 'is_brain': True, 'Hemisphere': 'R', 'Pair': 7941642, 'Pair ID': 241, 'lineage': '*BAlc ant_r akira_', 'Class 2': 'Duet'}}",11,-6.279609657551286e-19,-1.4474020636434619e-19,-1.4832156725686044e-18,-3.5606771761861955e-18,-1.2800989037779416e-18,-4.334332124176616e-18,1.0583192036299715e-17,0.0011817186689940067,2.4403326817369696e-05,0.0001623076834448552,-0.018277232341590736,0.10114358611481139,-0.01830787442932238,-0.0055285622990091515
3450442,"mPN, mPN iACT B2 (mPN iACT B2 left) [*BAlp4_l akira] #3450442",mPN,mPN-olfac,False,False,False,True,P,4700078,36,*BAlp4_l akira_,olfac,"{4700078: {'neuron_name': 'mPN, mPN iACT B2 (mPN iACT B2 right) [*BAlp4_r akira] #4700078', 'Class 1': 'mPN', 'Merge Class': 'mPN-olfac', 'is_pdiff': False, 'is_usplit': False, 'is_LNpre': False, 'is_brain': True, 'Hemisphere': 'R', 'Pair': 3450442, 'Pair ID': 36, 'lineage': '*BAlp4_r akira_', 'Class 2': 'olfac'}}",12,0.050778412337683924,-0.01834919073709245,-0.011083539908698946,-0.007443424164519316,-0.00253310696248811,-0.02165647768474749,0.04658920711876638,0.0013829077683069858,-5.695737159126123e-05,-8.957813148804871e-05,-0.01744439781438686,0.09600546393313159,-0.01794209391098074,-0.004899750763345047
7331555, (v'td_a6r (Abdominal Sensory)) [] #7331555,sens,sens-vtd,False,False,False,False,R,7340629,1109,unk,vtd,,13,0.0001218498789783343,6.748441918670532e-05,8.983338011705736e-05,-0.00022369958252863904,0.00037372663557828554,0.0004245427463499995,-2.8057461524653777e-05,-3.307659997351931e-20,-2.6589790788899125e-19,1.4657204600246441e-18,1.2549119954703652e-18,-2.3430551231436462e-18,7.975591578925106e-18,8.861808962064911e-19
3795424, (v'td_a5l (Abdominal Sensory)) [] #3795424,sens,sens-vtd,False,False,False,False,P,11291344,1108,unk,vtd,"{11291344: {'neuron_name': "" (v'td_a5r (Abdominal Sensory)) [] #11291344"", 'Class 1': 'sens', 'Merge Class': 'sens-vtd', 'is_pdiff': False, 'is_usplit': False, 'is_LNpre': False, 'is_brain': False, 'Hemisphere': 'R', 'Pair': 3795424, 'Pair ID': 1108, 'lineage': 'unk', 'Class 2': 'vtd'}}",14,0.0005835143528739313,0.0002108169215593118,0.00030785626925770046,-0.0014981857624867473,0.005911978218331126,0.0007912355105636035,-0.0003697852617541784,-3.7385958309875136e-19,-3.4534153047919276e-19,4.1781449930825883e-19,-3.719688083982586e-18,-2.1712117226043203e-18,1.0712822813380545e-18,7.134317777779129e-18
9835169, (v'td_a4l (Abdominal Sensory)) [] #9835169,sens,sens-vtd,False,False,False,False,P,9503203,1107,unk,vtd,"{9503203: {'neuron_name': "" (v'td_a4r (Abdominal Sensory)) [] #9503203"", 'Class 1': 'sens', 'Merge Class': 'sens-vtd', 'is_pdiff': False, 'is_usplit': False, 'is_LNpre': False, 'is_brain': False, 'Hemisphere': 'R', 'Pair': 9835169, 'Pair ID': 1107, 'lineage': 'unk', 'Class 2': 'vtd'}}",15,0.001387841744452011,0.0006641407617503973,0.0012164375196992599,-0.0016278756822093992,0.003845709105694675,0.00637541102047401,-0.00016753212249717085,-1.2785290761527709e-19,-1.2597705212009964e-19,1.3477141139380494e-19,-1.3701056682591906e-18,-6.576567572177076e-19,2.996963552120487e-19,2.546719395546633e-18
3945454,"FFN-5, MB2IN-52, MB2ON-212 (Sleepy-2 Left) [*DAMv12_med_l akira] #3945454",FFN,FFN,False,False,False,True,P,9841469,63,*DAMv12_med_l akira_,,"{9841469: {'neuron_name': 'FFN-5, MB2IN-52, MB2ON-212 (Sleepy-2 Right) [*DAMv12_med_r akira] #9841469', 'Class 1': 'FFN', 'Merge Class': 'FFN', 'is_pdiff': False, 'is_usplit': False, 'is_LNpre': False, 'is_brain': True, 'Hemisphere': 'R', 'Pair': 3945454, 'Pair ID': 63, 'lineage': '*DAMv12_med_r akira_', 'Class 2': nan}}",16,0.01645725293547579,0.009100356394679926,0.011085193176853386,-0.0075394526198991445,0.004220593709224094,0.033720758876194044,-0.0019561392418613465,0.005497587090358889,0.0022159142160316715,0.003458575179520389,-0.0044005049976039235,0.014446426073672393,0.018239602928415664,-0.0020213545353107098
4363883, (v'td_a3l (Abdominal Sensory)) [] #4363883,sens,sens-vtd,False,False,False,False,P,5382876,1106,unk,vtd,"{5382876: {'neuron_name': "" (v'td_a3r (Abdominal Sensory)) [] #5382876"", 'Class 1': 'sens', 'Merge Class': 'sens-vtd', 'is_pdiff': False, 'is_usplit': False, 'is_LNpre': False, 'is_brain': False, 'Hemisphere': 'R', 'Pair': 4363883, 'Pair ID': 1106, 'lineage': 'unk', 'Class 2': 'vtd'}}",17,0.00048551936593148977,0.00023572141527363125,0.0003497986028644627,-0.0005685642331068526,0.0011416966813453332,0.002268041519342616,0.00014849886245608206,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10418394, (DH44 1 left) [*Dilp_l akira] #10418394,Unk,Unk,False,False,False,True,P,2260755,403,*Dilp_l akira_,,"{2260755: {'neuron_name': ' (DH44 1 right) [*Dilp_r akira] #2260755', 'Class 1': 'Unk', 'Merge Class': 'Unk', 'is_pdiff': False, 'is_usplit': False, 'is_LNpre': False, 'is_brain': True, 'Hemisphere': 'R', 'Pair': 10418394, 'Pair ID': 403, 'lineage': '*Dilp_r akira_', 'Class 2': nan}}",18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049010103702385325,0.0018034972945574173,0.0017025871576588423,-0.006014589006445632,0.007807289452394009,0.016114940173661683,0.0008159366846142428
8005609, (v'td_a2l (Abdominal Sensory)) [] #8005609,sens,sens-vtd,False,False,False,False,L,10852875,1105,unk,vtd,,19,0.00011202529900804772,6.204324781577741e-05,8.259024426528077e-05,-0.0002056630078820258,0.00034359359606237524,0.0003903124771261066,-2.5795228875591144e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15639294,MB2ON-218 (CPe contralateral descending left; CPobPm4 is CPe3/pep asc cand Left) [*CPe_l akira] #15639294,O_dVNC,O_dVNC,False,False,False,True,P,7571966,715,*CPe_l akira_,,"{7571966: {'neuron_name': 'MB2ON-218 (CPe contralateral descending right; CPe3/pep asc cand Right; CP1 d 4) [*CPe_r akira] #7571966', 'Class 1': 'O_dVNC', 'Merge Class': 'O_dVNC', 'is_pdiff': False, 'is_usplit': False, 'is_LNpre': False, 'is_brain': True, 'Hemisphere': 'R', 'Pair': 15639294, 'Pair ID': 715, 'lineage': '*CPe_r akira_', 'Class 2': nan}}",20,0.0008709730249552141,0.00026865340270741753,0.00044322596704823153,-0.000690716280351088,0.0010642272708814232,0.002930336584452937,-9.796242729659583e-06,0.0033484507629883012,0.0014832289329934517,0.0016449712140382598,-0.005065003728414986,0.008647603906921158,0.008545194668030106,-0.001299821192114379
5617164, (v'td-2_a2l) [] #5617164,sens,sens-vtd,False,False,False,False,P,10963761,1104,unk,vtd,"{10963761: {'neuron_name': "" (v'td-2_a2r (neuron 10963762 sens?)) [] #10963761"", 'Class 1': 'sens', 'Merge Class': 'sens-vtd', 'is_pdiff': False, 'is_usplit': False, 'is_LNpre': False, 'is_brain': False, 'Hemisphere': 'R', 'Pair': 5617164, 'Pair ID': 1104, 'lineage': 'unk', 'Class 2': 'vtd'}}",21,0.005259940313461495,0.002508980495763453,0.0005153107255564932,-0.006766539486733878,0.0024070620954481153,0.014630741863309414,0.0028458220385220463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15792643, (LX_left) [*BAmd2_v_l akira] #15792643,Unk,Unk,False,False,False,True,P,15610774,728,*BAmd2_v_l akira_,,"{15610774: {'neuron_name': ' (LX_right) [*BAmd2_v_r akira] #15610774', 'Class 1': 'Unk', 'Merge Class': 'Unk', 'is_pdiff': False, 'is_usplit': False, 'is_LNpre': False, 'is_brain': True, 'Hemisphere': 'R', 'Pair': 15792643, 'Pair ID': 728, 'lineage': '*BAmd2_v_r akira_', 'Class 2': nan}}",22,0.014942068579301032,0.003856312131118644,-0.008344303842880173,-0.02491129734971794,-0.0005147682968264822,0.00607015587296369,0.05214123090618868,0.014889977718752763,0.008015959595402107,-0.0036574529327533167,-0.02017187586245371,0.0015969300487293247,0.019748543969267222,0.02295924877628307
10323628,"MB2IN-135, MB2ON-226 (Pre-ipsigoro-2_left) [*DAMd23_l akira] #10323628",Unk,Unk,False,False,False,True,P,8370111,395,*DAMd23_l akira_,,"{8370111: {'neuron_name': 'MB2IN-135, MB2ON-226 (Pre-ipsigoro-2_right) [*DAMd23_r akira] #8370111', 'Class 1': 'Unk', 'Merge Class': 'Unk', 'is_pdiff': False, 'is_usplit': False, 'is_LNpre': False, 'is_brain': True, 'Hemisphere': 'R', 'Pair': 10323628, 'Pair ID': 395, 'lineage': '*DAMd23_r akira_', 'Class 2': nan}}",23,0.019882901647799194,0.051769102950203275,-0.01335486570519075,-0.0032738443515043267,-0.0013752763494637207,0.0058589533388825905,-0.012191725422584392,0.01104711921169299,0.006351090292402936,0.0011957048781781829,-0.011612924722823837,0.0042765773125346815,0.02899614236009359,0.0032176204690089662
4188290, (EH left) [unknown lineage] #4188290,O_dVNC,O_dVNC,False,True,True,True,P,5010581,74,unk,,"{5010581: {'neuron_name': ' (EH right) [unknown lineage] #5010581', 'Class 1': 'O_dVNC', 'Merge Class': 'O_dVNC', 'is_pdiff': False, 'is_usplit': True, 'is_LNpre': True, 'is_brain': True, 'Hemisphere': 'R', 'Pair': 4188290, 'Pair ID': 74, 'lineage': 'unk', 'Class 2': nan}}",24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01449394277901966,0.007091791243101147,0.005709275407492036,-0.005270782120875375,0.007656149032595681,0.03993940486061298,-0.004797214145239749
3946166,MB2IN-206 (Pre-goro3 left) [*DPMl_ant_dor_l akira] #3946166,O_dVNC,O_dVNC,False,False,False,True,P,3620633,65,*DPMl_ant_dor_l akira_,,"{3620633: {'neuron_name': 'MB2IN-206 (Pre-goro3 right) [*DPMl_ant_dor_r akira] #3620633', 'Class 1': 'O_dVNC', 'Merge Class': 'O_dVNC', 'is_pdiff': False, 'is_usplit': False, 'is_LNpre': False, 'is_brain': True, 'Hemisphere': 'R', 'Pair': 3946166, 'Pair ID': 65, 'lineage': '*DPMl_ant_dor_r akira_', 'Class 2': nan}}",25,0.02065466643441516,0.004600599090060595,0.005285921547799768,-0.006909317078789183,0.009236986868674297,0.04811824873038844,-0.004652939093126723,0.020551400361476665,0.005589149116557131,0.004833286635124297,-0.019516080101851383,0.0025011140866462935,0.035245732187568164,-0.008905371697176222
3945136, (DAMv12 Mandible 2 left) [*DAMv12_med_l akira] #3945136,Unk,Unk,False,False,False,True,P,13948718,58,*DAMv12_med_l akira_,,"{13948718: {'neuron_name': ' (DAMv12 Mandible 2 right) [*DAMv12_lat_r akira] #13948718', 'Class 1': 'Unk', 'Merge Class': 'Unk', 'is_pdiff': False, 'is_usplit': False, 'is_LNpre': False, 'is_brain': True, 'Hemisphere': 'R', 'Pair': 3945136, 'Pair ID': 58, 'lineage': '*DAMv12_lat_r akira_', 'Class 2': nan}}",26,0.02041175685789387,-0.0038791346485780205,-0.004818973668764012,-0.040450652132738685,-0.012845324258474506,-0.006983850539435043,-0.011242665731623941,0.020082425381610033,0.012763549354981021,0.006404041004957258,-0.017228486766310603,0.00939232329819397,0.06089322199145796,0.007568656674038385
3944626, (DPMpm1 bushy descending left) [*DPMpm1_l akira] #3944626,Unk,Unk,False,False,False,True,P,16195633,57,*DPMpm1_l akira_,,"{16195633: {'neuron_name': ' (DPMpm1 bushy descending right) [*DPMpm1_r akira] #16195633', 'Class 1': 'O_dVNC', 'Merge Class': 'O_dVNC', 'is_pdiff': False, 'is_usplit': False, 'is_LNpre': False, 'is_brain': True, 'Hemisphere': 'R', 'Pair': 3944626, 'Pair ID': 57, 'lineage': '*DPMpm1_r akira_', 'Class 2': nan}}",27,0.004405702151433635,0.002673133431123795,0.0016275355629347243,-0.004047160708175645,0.0014861629138195431,0.013421815640004223,-0.0008448741111196438,0.01986308382467516,0.012332554484343663,-0.00012614479979834066,-0.01693107582999289,0.0061831036689183405,0.036693482054085236,0.021023335767059097
3729496," (Input from both Munin 3, into SOG left, PAIR #2) [*BAmd2_v_l akira] #3729496",O_dSEZ,O_dSEZ,False,False,False,True,P,3762317,42,*BAmd2_v_l akira_,,"{3762317: {'neuron_name': ' (Input from both Munin 3, into SOG right, PAIR #3) [*BAmd2_v_r akira] #3762317', 'Class 1': 'O_dSEZ', 'Merge Class': 'O_dSEZ', 'is_pdiff': False, 'is_usplit': False, 'is_LNpre': False, 'is_brain': True, 'Hemisphere': 'R', 'Pair': 3729496, 'Pair ID': 42, 'lineage': '*BAmd2_v_r akira_', 'Class 2': nan}}",28,0.00015655463141119567,0.00027931693812841544,-5.357278365140596e-05,-0.000503012362043959,0.0016794428594722808,0.00020098455280955166,0.0006656923669965375,0.003393175070322322,0.002906054513468463,-0.000260409653418142,-0.004550038319306663,0.0017179180402509993,0.009984487909980112,0.003155136034479402
11874130, (v'td-2_a1l) [] #11874130,sens,sens-vtd,False,False,False,False,P,10868477,1103,unk,vtd,"{10868477: {'neuron_name': "" (v'td-2_a1r) [] #10868477"", 'Class 1': 'sens', 'Merge Class': 'sens-vtd', 'is_pdiff': False, 'is_usplit': False, 'is_LNpre': False, 'is_brain': False, 'Hemisphere': 'R', 'Pair': 11874130, 'Pair ID': 1103, 'lineage': 'unk', 'Class 2': 'vtd'}}",29,0.0021597201341407098,0.0009821608541677913,0.0015470831669991006,-0.0023951627000783618,0.004622154051533339,0.009295093233598797,2.2883154529821608e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17176866,"FFN-12, MB2IN-62 (BAmas lineage Neuron left) [*BAmas12_dor_l akira] #17176866",FFN,FFN,False,False,False,True,P,17176882,901,*BAmas12_dor_l akira_,,"{17176882: {'neuron_name': 'FFN-12, MB2IN-62 (BAmas lineage Neuron right) [*BAmas12_dor_r akira] #17176882', 'Class 1': 'FFN', 'Merge Class': 'FFN', 'is_pdiff': False, 'is_usplit': False, 'is_LNpre': False, 'is_brain': True, 'Hemisphere': 'R', 'Pair': 17176866, 'Pair ID': 901, 'lineage': '*BAmas12_dor_r akira_', 'Class 2': nan}}",30,0.019874149766644505,0.0075120017630366616,0.012953609257293289,-0.002506779304401536,0.008340248516119494,0.04592417292114211,-0.009937794542310755,0.0034480087391454205,0.0015124302959868012,0.002628831111638876,-0.003434251424507968,0.009168643807317326,0.017233401149952206,-0.0003189887322133453
10563755, (DH44 3 left) [*Dilp_l akira] #10563755,Unk,Unk,False,False,False,True,P,13535387,415,*Dilp_l akira_,,"{13535387: {'neuron_name': ' (DH44 3 right) [*Dilp_r akira] #13535387', 'Class 1': 'Unk', 'Merge Class': 'Unk', 'is_pdiff': False, 'is_usplit': False, 'is_LNpre': False, 'is_brain': True, 'Hemisphere': 'R', 'Pair': 10563755, 'Pair ID': 415, 'lineage': '*Dilp_r akira_', 'Class 2': nan}}",31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077880905254155385,0.0012633743540475422,0.002415633788920753,-0.010187430005677163,0.008186272404303392,0.017149172512086197,-0.005211910707611936
10202724,"FB-4, FBN-3, MB2IN-4, MB2ON-9 (LP: BAmas d 3_left) [*BAmas12_ven_l akira] #10202724",FBN,FBN,False,False,False,True,P,5480553,384,*BAmas12_ven_l akira_,,"{5480553: {'neuron_name': 'FB-4, FBN-3, MB2IN-4, MB2ON-9 (LP: BAmas d 3_right) [*BAmas12_ven_r akira] #5480553', 'Class 1': 'FBN', 'Merge Class': 'FBN', 'is_pdiff': False, 'is_usplit': False, 'is_LNpre': False, 'is_brain': True, 'Hemisphere': 'R', 'Pair': 10202724, 'Pair ID': 384, 'lineage': '*BAmas12_ven_r akira_', 'Class 2': nan}}",32,0.025568862025652343,0.015390098780983208,0.01748673729746162,-0.013206450197924022,0.0020792769064047,0.036278439533858495,-0.001632790659144038,0.0029082256531625258,0.0016158903440701377,0.0019988208294390232,-0.0027252315347069136,0.007694502433824741,0.0146701110805764,0.0008466806650660321
9787933,MB2IN-208 (BAmas lineage Neuron left 2) [*BAmas12_dor_l akira] #9787933,Unk,Unk,False,False,False,True,P,867393,364,*BAmas12_dor_l akira_,,"{867393: {'neuron_name': 'MB2IN-208 (BAmas lineage neuron right 2) [*BAmas12_dor_r akira] #867393', 'Class 1': 'Unk', 'Merge Class': 'Unk', 'is_pdiff': False, 'is_usplit': False, 'is_LNpre': False, 'is_brain': True, 'Hemisphere': 'R', 'Pair': 9787933, 'Pair ID': 364, 'lineage': '*BAmas12_dor_r akira_', 'Class 2': nan}}",33,0.02648170882292826,0.003474643542348544,0.009847304473041205,0.0005154889364374853,0.011167900135188539,0.05164321077783185,-0.011595879333969135,0.0034236257618712783,0.0014501180533885983,0.002579428571924985,-0.004533742977464267,0.016335621862085904,0.01506703510604423,-0.0007810931110170459
